Author,Study_ID,Effect_Size_ID,Study_Country,Study_Region,Biome,Study_System,Verts_Inverts_Plants,Verts_Inverts_Plants_Without_Pests,Functional_Groups,Orders,Taxa_Category_2,Biodiversity_Category,Heterogeneity_Measure,Heterogeneity_Mesure_Fine,Heterogeneity_Type,Heterogeneity,Heterogeneity_Type_L_C,Pearson_Correlation,Sample_Size,Scale,Scale_Cat
Baños-Picón (2011),p32,sub51,Spain,La Rioja-Navarra,Temperate,Multiple,Invertebrates,Invertebrates,Pollinators,Hymenoptera,Bees,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.4818582,17,100_m_R,A_LocalScale
Baños-Picón (2011),p32,sub52,Spain,La Rioja-Navarra,Temperate,Multiple,Invertebrates,Invertebrates,Pollinators,Hymenoptera,Bees,SWDiversity,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.1201406,17,250_m_R,A_LocalScale
Baños-Picón (2011),p32,sub53,Spain,La Rioja-Navarra,Temperate,Multiple,Invertebrates,Invertebrates,Pollinators,Hymenoptera,Bees,Richness,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.1077891,17,250_m_R,A_LocalScale
Baños-Picón (2011),p32,sub54,Spain,La Rioja-Navarra,Temperate,Multiple,Invertebrates,Invertebrates,Pollinators,Hymenoptera,Bees,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.385634,17,250_m_R,A_LocalScale
Baños-Picón (2011),p32,sub55,Spain,La Rioja-Navarra,Temperate,Multiple,Invertebrates,Invertebrates,Pollinators,Hymenoptera,Bees,SWDiversity,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.0320505,17,500_m_R,LandscapeScale_1
Baños-Picón (2011),p32,sub56,Spain,La Rioja-Navarra,Temperate,Multiple,Invertebrates,Invertebrates,Pollinators,Hymenoptera,Bees,Richness,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.004123513,17,500_m_R,LandscapeScale_1
Baños-Picón (2011),p32,sub57,Spain,La Rioja-Navarra,Temperate,Multiple,Invertebrates,Invertebrates,Pollinators,Hymenoptera,Bees,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.1626995,17,500_m_R,LandscapeScale_1
Baños-Picón (2011),p32,sub58,Spain,La Rioja-Navarra,Temperate,Multiple,Invertebrates,Invertebrates,Pollinators,Hymenoptera,Bees,SWDiversity,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,-0.233927,17,1000_m_R,LandscapeScale_2
Baños-Picón (2011),p32,sub59,Spain,La Rioja-Navarra,Temperate,Multiple,Invertebrates,Invertebrates,Pollinators,Hymenoptera,Bees,Richness,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,-0.2880286,17,1000_m_R,LandscapeScale_2
Baños-Picón (2011),p32,sub60,Spain,La Rioja-Navarra,Temperate,Multiple,Invertebrates,Invertebrates,Pollinators,Hymenoptera,Bees,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,-0.1174601,17,1000_m_R,LandscapeScale_2
Holzschuh et al. (2011),p40,sub61,Germany,"Goettingen (51.58 N, 9.98 E), Lower Saxony",Temperate,Oilseed rape,Invertebrates,Invertebrates,Pollinators,Hymenoptera,Bees,SWDiversity,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.3653083,31,100_m_R,A_LocalScale
Holzschuh et al. (2011),p40,sub62,Germany,"Goettingen (51.58 N, 9.98 E), Lower Saxony",Temperate,Oilseed rape,Invertebrates,Invertebrates,Pollinators,Hymenoptera,Bees,Richness,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.4162282,31,100_m_R,A_LocalScale
Holzschuh et al. (2011),p40,sub63,Germany,"Goettingen (51.58 N, 9.98 E), Lower Saxony",Temperate,Oilseed rape,Invertebrates,Invertebrates,Pollinators,Hymenoptera,Bees,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.346733,31,100_m_R,A_LocalScale
Holzschuh et al. (2011),p40,sub64,Germany,"Goettingen (51.58 N, 9.98 E), Lower Saxony",Temperate,Oilseed rape,Invertebrates,Invertebrates,Pollinators,Hymenoptera,Bees,SWDiversity,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.4504488,31,250_m_R,A_LocalScale
Holzschuh et al. (2011),p40,sub65,Germany,"Goettingen (51.58 N, 9.98 E), Lower Saxony",Temperate,Oilseed rape,Invertebrates,Invertebrates,Pollinators,Hymenoptera,Bees,Richness,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.5066359,31,250_m_R,A_LocalScale
Holzschuh et al. (2011),p40,sub66,Germany,"Goettingen (51.58 N, 9.98 E), Lower Saxony",Temperate,Oilseed rape,Invertebrates,Invertebrates,Pollinators,Hymenoptera,Bees,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.4782883,31,250_m_R,A_LocalScale
Holzschuh et al. (2011),p40,sub67,Germany,"Goettingen (51.58 N, 9.98 E), Lower Saxony",Temperate,Oilseed rape,Invertebrates,Invertebrates,Pollinators,Hymenoptera,Bees,SWDiversity,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.333216,31,500_m_R,LandscapeScale_1
Holzschuh et al. (2011),p40,sub68,Germany,"Goettingen (51.58 N, 9.98 E), Lower Saxony",Temperate,Oilseed rape,Invertebrates,Invertebrates,Pollinators,Hymenoptera,Bees,Richness,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.3840726,31,500_m_R,LandscapeScale_1
Holzschuh et al. (2011),p40,sub69,Germany,"Goettingen (51.58 N, 9.98 E), Lower Saxony",Temperate,Oilseed rape,Invertebrates,Invertebrates,Pollinators,Hymenoptera,Bees,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.3481949,31,500_m_R,LandscapeScale_1
Holzschuh et al. (2011),p40,sub70,Germany,"Goettingen (51.58 N, 9.98 E), Lower Saxony",Temperate,Oilseed rape,Invertebrates,Invertebrates,Pollinators,Hymenoptera,Bees,SWDiversity,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.3444144,31,1000_m_R,LandscapeScale_2
Holzschuh et al. (2011),p40,sub71,Germany,"Goettingen (51.58 N, 9.98 E), Lower Saxony",Temperate,Oilseed rape,Invertebrates,Invertebrates,Pollinators,Hymenoptera,Bees,Richness,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.4397509,31,1000_m_R,LandscapeScale_2
Holzschuh et al. (2011),p40,sub72,Germany,"Goettingen (51.58 N, 9.98 E), Lower Saxony",Temperate,Oilseed rape,Invertebrates,Invertebrates,Pollinators,Hymenoptera,Bees,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.3590701,31,1000_m_R,LandscapeScale_2
Jauk01 ,p41,sub73,Germany,Hesse,Temperate,Multiple,Invertebrates,Invertebrates,Pollinators,Diptera,Hoverflies,SWDiversity,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.1484003,32,100_m_R,A_LocalScale
Jauk01 ,p41,sub74,Germany,Hesse,Temperate,Multiple,Invertebrates,Invertebrates,Pollinators,Diptera,Hoverflies,Richness,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.1408999,32,100_m_R,A_LocalScale
Jauk01 ,p41,sub75,Germany,Hesse,Temperate,Multiple,Invertebrates,Invertebrates,Pollinators,Diptera,Hoverflies,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,-0.3845779,32,100_m_R,A_LocalScale
Jauk01 ,p41,sub76,Germany,Hesse,Temperate,Multiple,Invertebrates,Invertebrates,Pollinators,Diptera,Hoverflies,SWDiversity,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.3574092,32,250_m_R,A_LocalScale
Jauk01 ,p41,sub77,Germany,Hesse,Temperate,Multiple,Invertebrates,Invertebrates,Pollinators,Diptera,Hoverflies,Richness,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.09342656,32,250_m_R,A_LocalScale
Jauk01 ,p41,sub78,Germany,Hesse,Temperate,Multiple,Invertebrates,Invertebrates,Pollinators,Diptera,Hoverflies,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,-0.5859725,32,250_m_R,A_LocalScale
Jauk01 ,p41,sub79,Germany,Hesse,Temperate,Multiple,Invertebrates,Invertebrates,Pollinators,Diptera,Hoverflies,SWDiversity,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.6159276,32,500_m_R,LandscapeScale_1
Jauk01 ,p41,sub80,Germany,Hesse,Temperate,Multiple,Invertebrates,Invertebrates,Pollinators,Diptera,Hoverflies,Richness,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.04228137,32,500_m_R,LandscapeScale_1
Jauk01 ,p41,sub81,Germany,Hesse,Temperate,Multiple,Invertebrates,Invertebrates,Pollinators,Diptera,Hoverflies,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,-0.6336839,32,500_m_R,LandscapeScale_1
Jauk01 ,p41,sub82,Germany,Hesse,Temperate,Multiple,Invertebrates,Invertebrates,Pollinators,Diptera,Hoverflies,SWDiversity,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.3387049,32,1000_m_R,LandscapeScale_2
Jauk01 ,p41,sub83,Germany,Hesse,Temperate,Multiple,Invertebrates,Invertebrates,Pollinators,Diptera,Hoverflies,Richness,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,-0.1464815,32,1000_m_R,LandscapeScale_2
Jauk01 ,p41,sub84,Germany,Hesse,Temperate,Multiple,Invertebrates,Invertebrates,Pollinators,Diptera,Hoverflies,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,-0.5327655,32,1000_m_R,LandscapeScale_2
Jauk02,p42,sub85,Germany,Hesse,Temperate,Multiple,Invertebrates,Invertebrates,Pollinators,Diptera,Hoverflies,SWDiversity,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.05631999,16,100_m_R,A_LocalScale
Jauk02,p42,sub86,Germany,Hesse,Temperate,Multiple,Invertebrates,Invertebrates,Pollinators,Diptera,Hoverflies,Richness,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.1533715,16,100_m_R,A_LocalScale
